Date,Eli Lilly stock price
1/2/2018,80.365669
1/3/2018,80.802231
1/4/2018,81.162865
1/5/2018,82.159378
1/8/2018,81.741791
1/9/2018,81.675362
1/10/2018,81.713318
1/11/2018,81.988541
1/12/2018,82.548500
1/16/2018,80.944595
1/17/2018,81.817703
1/18/2018,81.447594
1/19/2018,81.134399
1/22/2018,81.086952
1/23/2018,80.118919
1/24/2018,80.005035
1/25/2018,80.678864
1/26/2018,82.643410
1/29/2018,83.136902
1/30/2018,81.703835
1/31/2018,77.300240
2/1/2018,78.211327
2/2/2018,77.043983
2/5/2018,73.541992
2/6/2018,74.016510
2/7/2018,72.811218
2/8/2018,70.429108
2/9/2018,72.346184
2/12/2018,72.365173
2/13/2018,72.327202
2/14/2018,73.649033
2/15/2018,74.595573
2/16/2018,75.503883
2/20/2018,74.146210
2/21/2018,74.146210
2/22/2018,73.802002
2/23/2018,75.293526
2/26/2018,76.660759
2/27/2018,75.245720
2/28/2018,73.639465
3/1/2018,73.142288
3/2/2018,73.840240
3/5/2018,74.289619
3/6/2018,73.802002
3/7/2018,74.041031
3/8/2018,75.427376
3/9/2018,76.115784
3/12/2018,75.570793
3/13/2018,75.675972
3/14/2018,75.044945
3/15/2018,75.293526
3/16/2018,76.957153
3/19/2018,75.274414
3/20/2018,74.930214
3/21/2018,74.805908
3/22/2018,73.170967
3/23/2018,71.478661
3/26/2018,72.836327
3/27/2018,72.339157
3/28/2018,73.629898
3/29/2018,73.974106
4/2/2018,72.377388
4/3/2018,74.136642
4/4/2018,75.150116
4/5/2018,75.169235
4/6/2018,73.476929
4/9/2018,73.945412
4/10/2018,75.742905
4/11/2018,75.274414
4/12/2018,75.809830
4/13/2018,76.220955
4/16/2018,76.603401
4/17/2018,76.412170
4/18/2018,76.220955
4/19/2018,76.249626
4/20/2018,75.589905
4/23/2018,76.679878
4/24/2018,76.574715
4/25/2018,77.578621
4/26/2018,78.926750
4/27/2018,79.098846
4/30/2018,77.511703
5/1/2018,75.599487
5/2/2018,75.370026
5/3/2018,74.614693
5/4/2018,74.958893
5/7/2018,75.178787
5/8/2018,75.417824
5/9/2018,75.790710
5/10/2018,77.310928
5/11/2018,78.831123
5/14/2018,79.423904
5/15/2018,78.601654
5/16/2018,78.151604
5/17/2018,78.613701
5/18/2018,79.008400
5/21/2018,78.777359
5/22/2018,79.152817
5/23/2018,79.595657
5/24/2018,79.624527
5/25/2018,79.682289
5/29/2018,79.364601
5/30/2018,80.731628
5/31/2018,81.867615
6/1/2018,81.684708
6/4/2018,81.896500
6/5/2018,81.655807
6/6/2018,82.724419
6/7/2018,82.676277
6/8/2018,82.868813
6/11/2018,82.657021
6/12/2018,82.300819
6/13/2018,82.522247
6/14/2018,83.128738
6/15/2018,83.638954
6/18/2018,82.897690
6/19/2018,83.581207
6/20/2018,83.061356
6/21/2018,82.859184
6/22/2018,82.714783
6/25/2018,82.570374
6/26/2018,81.935005
6/27/2018,81.511414
6/28/2018,82.300819
6/29/2018,82.146790
7/2/2018,82.657021
7/3/2018,83.282768
7/5/2018,83.330902
7/6/2018,84.129951
7/9/2018,84.592041
7/10/2018,84.765327
7/11/2018,84.293594
7/12/2018,85.593246
7/13/2018,86.363403
7/16/2018,85.747276
7/17/2018,86.228622
7/18/2018,86.671455
7/19/2018,86.093834
7/20/2018,85.169647
7/23/2018,85.564354
7/24/2018,89.867607
7/25/2018,92.832710
7/26/2018,91.629341
7/27/2018,92.996361
7/30/2018,94.363380
7/31/2018,95.123924
8/1/2018,95.018028
8/2/2018,95.759308
8/3/2018,96.827904
8/6/2018,98.194931
8/7/2018,98.137169
8/8/2018,98.454849
8/9/2018,98.377838
8/10/2018,98.435593
8/13/2018,98.618500
8/14/2018,99.163017
8/15/2018,100.024544
8/16/2018,101.021591
8/17/2018,102.173538
8/20/2018,102.434898
8/21/2018,101.708893
8/22/2018,101.670158
8/23/2018,101.466873
8/24/2018,102.386490
8/27/2018,101.747604
8/28/2018,101.815369
8/29/2018,101.960571
8/30/2018,102.105766
8/31/2018,102.270340
9/4/2018,101.273285
9/5/2018,102.338097
9/6/2018,101.999283
9/7/2018,103.606186
9/10/2018,103.015701
9/11/2018,102.260643
9/12/2018,102.580086
9/13/2018,103.170578
9/14/2018,102.386490
9/17/2018,102.328400
9/18/2018,103.460983
9/19/2018,102.357445
9/20/2018,102.676888
9/21/2018,102.928574
9/24/2018,102.212234
9/25/2018,102.318733
9/26/2018,102.909218
9/27/2018,103.277069
9/28/2018,103.877228
10/1/2018,104.157951
10/2/2018,104.506439
10/3/2018,105.145325
10/4/2018,109.375534
10/5/2018,111.340584
10/8/2018,111.766502
10/9/2018,111.756828
10/10/2018,109.714325
10/11/2018,104.458031
10/12/2018,106.945824
10/15/2018,107.081345
10/16/2018,107.478218
10/17/2018,109.956329
10/18/2018,109.685287
10/19/2018,108.339752
10/22/2018,108.446243
10/23/2018,106.858704
10/24/2018,102.918900
10/25/2018,104.438675
10/26/2018,102.986656
10/29/2018,103.964348
10/30/2018,104.874275
10/31/2018,104.971085
11/1/2018,104.409630
11/2/2018,103.335144
11/5/2018,106.616692
11/6/2018,102.512321
11/7/2018,106.210129
11/8/2018,106.577980
11/9/2018,108.620476
11/12/2018,109.578796
11/13/2018,108.794724
11/14/2018,106.831940
11/15/2018,109.157120
11/16/2018,110.742912
11/19/2018,112.669212
11/20/2018,111.608780
11/21/2018,109.186310
11/23/2018,109.808945
11/26/2018,109.332230
11/27/2018,111.122337
11/28/2018,112.396805
11/29/2018,113.826927
11/30/2018,115.422462
12/3/2018,115.305717
12/4/2018,113.359955
12/6/2018,112.698395
12/7/2018,110.499702
12/10/2018,110.995857
12/11/2018,111.394753
12/12/2018,111.239075
12/13/2018,111.744980
12/14/2018,108.894447
12/17/2018,105.421265
12/18/2018,103.611702
12/19/2018,106.150925
12/20/2018,106.326042
12/21/2018,106.452507
12/24/2018,103.854927
12/26/2018,108.077225
12/27/2018,109.828400
12/28/2018,111.102875
12/31/2018,112.581650
1/2/2019,111.764435
1/3/2019,108.291260
1/4/2019,111.550407
1/7/2019,112.153580
1/8/2019,113.184845
1/9/2019,114.031258
1/10/2019,112.795685
1/11/2019,113.029182
1/14/2019,111.569862
1/15/2019,113.914505
1/16/2019,113.632378
1/17/2019,115.928368
1/18/2019,113.428055
1/22/2019,113.914505
1/23/2019,115.568398
1/24/2019,111.871445
1/25/2019,111.851997
1/28/2019,111.910362
1/29/2019,112.571930
1/30/2019,113.768578
1/31/2019,116.609367
2/1/2019,117.611443
2/4/2019,116.910965
2/5/2019,117.163925
2/6/2019,116.035370
2/7/2019,114.313385
2/8/2019,116.356430
2/11/2019,114.809563
2/12/2019,116.249413
2/13/2019,116.405075
2/14/2019,118.111938
2/15/2019,119.804161
2/19/2019,119.461792
2/20/2019,119.980225
2/21/2019,120.038910
2/22/2019,121.290947
2/25/2019,121.183350
2/26/2019,121.946297
2/27/2019,122.934235
2/28/2019,123.530914
3/1/2019,126.025200
3/4/2019,124.675354
3/5/2019,125.682861
3/6/2019,123.912392
3/7/2019,123.579826
3/8/2019,123.931953
3/11/2019,120.801865
3/12/2019,120.801865
3/13/2019,121.594177
3/14/2019,120.391045
3/15/2019,121.232254
3/18/2019,122.503853
3/19/2019,123.824348
3/20/2019,125.360062
3/21/2019,125.506775
3/22/2019,125.497009
3/25/2019,127.032700
3/26/2019,128.157578
3/27/2019,125.956726
3/28/2019,126.132797
3/29/2019,126.925110
4/1/2019,126.230621
4/2/2019,126.494713
4/3/2019,124.274315
4/4/2019,122.865776
4/5/2019,124.215622
4/8/2019,124.381912
4/9/2019,124.460159
4/10/2019,124.411255
4/11/2019,122.415825
4/12/2019,120.371475
4/15/2019,121.369194
4/16/2019,117.339203
4/17/2019,113.954796
4/18/2019,112.683189
4/22/2019,112.947304
4/23/2019,114.923172
4/24/2019,115.422028
4/25/2019,115.647003
4/26/2019,117.251175
4/29/2019,116.987061
4/30/2019,114.483002
5/1/2019,115.598091
5/2/2019,115.871979
5/3/2019,114.355843
5/6/2019,114.101524
5/7/2019,112.428886
5/8/2019,113.710266
5/9/2019,113.270103
5/10/2019,113.680923
5/13/2019,111.871338
5/14/2019,112.428886
5/15/2019,113.094025
5/16/2019,114.820313
5/17/2019,114.112099
5/20/2019,114.328499
5/21/2019,114.672775
5/22/2019,116.049866
5/23/2019,114.899002
5/24/2019,114.879326
5/28/2019,113.866180
5/29/2019,113.600601
5/30/2019,114.003899
5/31/2019,114.043243
6/3/2019,114.859657
6/4/2019,115.636734
6/5/2019,115.105568
6/6/2019,115.577713
6/7/2019,116.413811
6/10/2019,112.066124
6/11/2019,110.374260
6/12/2019,113.354683
6/13/2019,109.990646
6/14/2019,109.911949
6/17/2019,111.544792
6/18/2019,112.774338
6/19/2019,113.344856
6/20/2019,113.669449
6/21/2019,113.600601
6/24/2019,113.738312
6/25/2019,113.472725
6/26/2019,109.518486
6/27/2019,109.646370
6/28/2019,108.977493
7/1/2019,110.895592
7/2/2019,112.331703
7/3/2019,112.548103
7/5/2019,110.974274
7/8/2019,109.695549
7/9/2019,111.230026
7/10/2019,112.656303
7/11/2019,108.023361
7/12/2019,106.518394
7/15/2019,106.695450
7/16/2019,107.039711
7/17/2019,105.338013
7/18/2019,106.567566
7/19/2019,105.042931
7/22/2019,105.515076
7/23/2019,106.449532
7/24/2019,106.744621
7/25/2019,106.056084
7/26/2019,106.498718
7/29/2019,106.941353
7/30/2019,106.911850
7/31/2019,107.167595
8/1/2019,108.702080
8/2/2019,110.580826
8/5/2019,106.931519
8/6/2019,109.577507
8/7/2019,109.302086
8/8/2019,112.105469
8/9/2019,111.908737
8/12/2019,111.741516
8/13/2019,113.807159
8/14/2019,109.093842
8/15/2019,109.034492
8/16/2019,109.321342
8/19/2019,111.309547
8/20/2019,109.806038
8/21/2019,110.251160
8/22/2019,110.399529
8/23/2019,108.322304
8/26/2019,110.567688
8/27/2019,109.529076
8/28/2019,109.766472
8/29/2019,111.032585
8/30/2019,111.744781
9/3/2019,112.724045
9/4/2019,112.021744
9/5/2019,113.357101
9/6/2019,112.813065
9/9/2019,109.865387
9/10/2019,109.895058
9/11/2019,110.478661
9/12/2019,110.261047
9/13/2019,109.687340
9/16/2019,108.935570
9/17/2019,109.914841
9/18/2019,111.497490
9/19/2019,113.109810
9/20/2019,114.900185
9/23/2019,112.941658
9/24/2019,112.021744
9/25/2019,110.181915
9/26/2019,110.607254
9/27/2019,111.151283
9/30/2019,110.617142
10/1/2019,109.756577
10/2/2019,105.839523
10/3/2019,106.126381
10/4/2019,107.026505
10/7/2019,106.660522
10/8/2019,106.027466
10/9/2019,106.136276
10/10/2019,105.760391
10/11/2019,107.184776
10/14/2019,106.729767
10/15/2019,108.510239
10/16/2019,106.779213
10/17/2019,107.283691
10/18/2019,107.461739
10/21/2019,106.739655
10/22/2019,108.648720
10/23/2019,106.235191
10/24/2019,106.670410
10/25/2019,109.004814
10/28/2019,111.764557
10/29/2019,110.458878
10/30/2019,111.497490
10/31/2019,112.714142
11/1/2019,111.289764
11/4/2019,111.883263
11/5/2019,110.043434
11/6/2019,112.585564
11/7/2019,111.546944
11/8/2019,112.298706
11/11/2019,111.576622
11/12/2019,111.942612
11/13/2019,111.566734
11/14/2019,110.815620
11/15/2019,112.606346
11/18/2019,113.481804
11/19/2019,114.506493
11/20/2019,114.019020
11/21/2019,114.158295
11/22/2019,115.600815
11/25/2019,116.864273
11/26/2019,116.486229
11/27/2019,116.834427
11/29/2019,116.744888
12/2/2019,116.138031
12/3/2019,117.003548
12/4/2019,118.058083
12/5/2019,119.152405
12/6/2019,119.023079
12/9/2019,119.619987
12/10/2019,120.027878
12/11/2019,120.157204
12/12/2019,121.072456
12/13/2019,120.903336
12/16/2019,122.216530
12/17/2019,124.683746
12/18/2019,128.812332
12/19/2019,130.175278
12/20/2019,131.747116
12/23/2019,130.473724
12/24/2019,130.433945
12/26/2019,130.463776
12/27/2019,130.841827
12/30/2019,130.622955
