N,CRR,BS
2,7.235185883,8.102643534
3,8.745790833,8.102643534
4,7.645066547,8.102643534
5,8.486355774,8.102643534
6,7.792852787,8.102643534
7,8.375656465,8.102643534
8,7.868654436,8.102643534
9,8.314435947,8.102643534
10,7.91470139,8.102643534
11,8.275613048,8.102643534
12,7.945622567,8.102643534
13,8.248806641,8.102643534
14,7.967814092,8.102643534
15,8.229188816,8.102643534
16,7.984513384,8.102643534
17,8.214211278,8.102643534
18,7.9975339,8.102643534
19,8.20240244,8.102643534
20,8.007970188,8.102643534
21,8.192853269,8.102643534
22,8.016521898,8.102643534
23,8.184971994,8.102643534
24,8.023657091,8.102643534
25,8.17835684,8.102643534
26,8.029700716,8.102643534
27,8.172725455,8.102643534
28,8.034885412,8.102643534
29,8.167873617,8.102643534
30,8.039382106,8.102643534
31,8.163649964,8.102643534
32,8.0433192,8.102643534
33,8.159939932,8.102643534
34,8.046795022,8.102643534
35,8.156655213,8.102643534
36,8.04988614,8.102643534
37,8.153726646,8.102643534
38,8.052653067,8.102643534
39,8.15109929,8.102643534
40,8.055144256,8.102643534
41,8.148728953,8.102643534
42,8.057398965,8.102643534
43,8.146579682,8.102643534
44,8.059449339,8.102643534
45,8.144621932,8.102643534
46,8.061321948,8.102643534
47,8.142831198,8.102643534
48,8.063038947,8.102643534
49,8.141186981,8.102643534
50,8.064618959,8.102643534
51,8.13967201,8.102643534
52,8.066077747,8.102643534
53,8.13827162,8.102643534
54,8.067428746,8.102643534
55,8.136973289,8.102643534
56,8.068683476,8.102643534
57,8.135766251,8.102643534
58,8.069851873,8.102643534
59,8.134641205,8.102643534
60,8.07094255,8.102643534
61,8.133590072,8.102643534
62,8.071963012,8.102643534
63,8.132605799,8.102643534
64,8.072919828,8.102643534
65,8.131682205,8.102643534
66,8.073818772,8.102643534
67,8.130813846,8.102643534
68,8.07466494,8.102643534
69,8.129995911,8.102643534
70,8.075462847,8.102643534
71,8.129224132,8.102643534
72,8.076216507,8.102643534
73,8.12849471,8.102643534
74,8.076929501,8.102643534
75,8.127804251,8.102643534
76,8.077605034,8.102643534
77,8.127149715,8.102643534
78,8.078245983,8.102643534
79,8.126528368,8.102643534
80,8.078854937,8.102643534
81,8.12593775,8.102643534
82,8.079434234,8.102643534
83,8.125375636,8.102643534
84,8.079985988,8.102643534
85,8.12484001,8.102643534
86,8.080512118,8.102643534
87,8.124329044,8.102643534
88,8.081014369,8.102643534
89,8.123841074,8.102643534
90,8.08149433,8.102643534
91,8.12337458,8.102643534
92,8.081953453,8.102643534
93,8.122928176,8.102643534
94,8.082393065,8.102643534
95,8.122500592,8.102643534
96,8.082814385,8.102643534
97,8.122090661,8.102643534
98,8.083218532,8.102643534
99,8.121697313,8.102643534
100,8.083606533,8.102643534
101,8.121319561,8.102643534
102,8.083979339,8.102643534
103,8.120956496,8.102643534
104,8.084337823,8.102643534
105,8.120607278,8.102643534
106,8.084682796,8.102643534
107,8.12027113,8.102643534
108,8.085015008,8.102643534
109,8.11994733,8.102643534
110,8.085335154,8.102643534
111,8.119635211,8.102643534
112,8.085643879,8.102643534
113,8.119334153,8.102643534
114,8.085941784,8.102643534
115,8.119043577,8.102643534
116,8.086229428,8.102643534
117,8.118762945,8.102643534
118,8.086507332,8.102643534
119,8.118491756,8.102643534
120,8.086775982,8.102643534
121,8.11822954,8.102643534
122,8.087035834,8.102643534
123,8.11797586,8.102643534
124,8.087287312,8.102643534
125,8.117730306,8.102643534
126,8.087530814,8.102643534
127,8.117492493,8.102643534
128,8.087766715,8.102643534
129,8.11726206,8.102643534
130,8.087995365,8.102643534
131,8.117038671,8.102643534
132,8.088217093,8.102643534
133,8.116822005,8.102643534
134,8.088432208,8.102643534
135,8.116611766,8.102643534
136,8.088641002,8.102643534
137,8.11640767,8.102643534
138,8.08884375,8.102643534
139,8.116209452,8.102643534
140,8.08904071,8.102643534
141,8.116016862,8.102643534
142,8.089232128,8.102643534
143,8.115829664,8.102643534
144,8.089418233,8.102643534
145,8.115647634,8.102643534
146,8.089599243,8.102643534
147,8.115470562,8.102643534
148,8.089775366,8.102643534
