N,t
2,6.8e-05
3,6e-06
4,6e-06
5,8e-06
6,9e-06
7,1e-05
8,1.2e-05
9,1.4e-05
10,1.6e-05
11,1.8e-05
12,2.1e-05
13,2.4e-05
14,2.6e-05
15,3e-05
16,3.2e-05
17,3.6e-05
18,5.7e-05
19,6.5e-05
20,4.9e-05
21,5.4e-05
22,5.6e-05
23,6.1e-05
24,6.6e-05
25,7.1e-05
26,7.6e-05
27,8.2e-05
28,0.000102
29,0.000139
30,0.000107
31,0.000126
32,0.000117
33,0.000118
34,0.000125
35,0.000132
36,0.000139
37,0.000147
38,0.000153
39,0.000203
40,0.000171
41,0.000181
42,0.000187
43,0.000249
44,0.000335
45,0.000215
46,0.000222
47,0.000231
48,0.000292
49,0.00025
50,0.000259
51,0.000269
52,0.000283
53,0.000302
54,0.000331
55,0.000321
56,0.000342
57,0.000373
58,0.000359
59,0.000386
60,0.000413
61,0.00041
62,0.000414
63,0.000439
64,0.000456
65,0.000498
66,0.000464
67,0.000487
68,0.000513
69,0.000523
70,0.000521
71,0.000513
72,0.000628
73,0.000648
74,0.00068
75,0.000702
76,0.000599
77,0.000856
78,0.000652
79,0.000695
80,0.000718
81,0.000719
82,0.00075
83,0.000769
84,0.000773
85,0.000828
86,0.000849
87,0.000852
88,0.000861
89,0.000907
90,0.000967
91,0.000967
92,0.000907
93,0.000934
94,0.000951
95,0.000979
96,0.00103
97,0.00105
98,0.001034
99,0.001081
100,0.001049
101,0.001008
102,0.001023
103,0.001114
104,0.001107
105,0.001177
106,0.001143
107,0.00115
108,0.001151
109,0.001173
110,0.001207
111,0.001209
112,0.00123
113,0.00127
114,0.001301
115,0.001309
116,0.001323
117,0.001354
118,0.001366
119,0.00139
120,0.001421
121,0.001456
122,0.001471
123,0.00157
124,0.001548
125,0.00166
126,0.00171
127,0.001636
128,0.001564
129,0.001702
130,0.001725
131,0.001807
132,0.002063
133,0.001704
134,0.001837
135,0.001922
136,0.001972
137,0.001858
138,0.001964
139,0.001939
140,0.001978
141,0.001995
142,0.001974
143,0.00201
144,0.002087
145,0.001927
146,0.001943
147,0.001906
148,0.001951
149,0.001944
150,0.002029
151,0.002018
152,0.002958
153,0.003162
154,0.002213
155,0.001518
156,0.001576
157,0.001961
158,0.001559
159,0.001477
160,0.001255
161,0.001259
162,0.001281
163,0.0013
164,0.001554
165,0.001366
166,0.001211
167,0.001116
168,0.001121
169,0.001137
170,0.001189
171,0.001188
172,0.001199
173,0.001248
174,0.001053
175,0.001044
176,0.001544
177,0.001626
178,0.00166
179,0.001674
180,0.00138
181,0.000958
182,0.000956
183,0.000964
184,0.000975
185,0.000995
186,0.000996
187,0.001006
188,0.001055
189,0.000967
190,0.00098
191,0.000976
192,0.001006
193,0.00102
194,0.001037
195,0.001048
196,0.001015
197,0.001031
198,0.000925
199,0.000934
200,0.000917
201,0.000922
202,0.000932
203,0.000948
204,0.000945
205,0.000959
206,0.00097
207,0.000947
208,0.00091
209,0.000918
210,0.000968
211,0.000979
212,0.00095
213,0.000959
214,0.001001
215,0.001021
216,0.00098
217,0.00103
218,0.001037
219,0.001014
220,0.001023
221,0.001078
222,0.001121
223,0.00105
224,0.00106
225,0.001111
226,0.001072
227,0.00113
228,0.001123
229,0.001144
230,0.001149
231,0.001126
232,0.001133
233,0.001182
234,0.001148
235,0.001195
236,0.001216
237,0.001251
238,0.001277
239,0.00125
240,0.001286
241,0.001339
242,0.0013
243,0.001246
244,0.001247
245,0.001303
246,0.001356
247,0.001286
248,0.001325
249,0.001393
250,0.001318
251,0.001419
252,0.00133
253,0.001387
254,0.001396
255,0.001361
256,0.001371
257,0.001472
258,0.001394
259,0.001497
260,0.001476
261,0.001425
262,0.001522
263,0.001456
264,0.001468
265,0.001482
266,0.001479
267,0.001497
268,0.001543
269,0.001605
270,0.001637
271,0.001592
272,0.001553
273,0.001613
274,0.001707
275,0.001727
276,0.001766
277,0.001788
278,0.001733
279,0.001787
280,0.001693
281,0.001709
282,0.001711
283,0.001715
284,0.001744
285,0.001743
286,0.001751
287,0.001781
288,0.001775
289,0.001802
290,0.001812
291,0.001831
292,0.001837
293,0.001848
294,0.001861
295,0.001868
296,0.001895
297,0.001908
298,0.001912
299,0.001929
300,0.001938
301,0.001945
302,0.001971
303,0.001978
304,0.001996
305,0.002004
306,0.002045
307,0.002015
308,0.002048
309,0.002052
310,0.002071
311,0.002081
312,0.002082
313,0.002119
314,0.002108
315,0.002137
316,0.002141
317,0.002159
318,0.002161
319,0.002186
320,0.002203
321,0.002224
322,0.002219
323,0.002229
324,0.002246
325,0.002276
326,0.002289
327,0.002285
328,0.002318
329,0.002323
330,0.002342
331,0.002341
332,0.002297
333,0.002364
334,0.002328
335,0.002356
336,0.002402
337,0.002381
338,0.002401
339,0.002393
340,0.002472
341,0.002441
342,0.00245
343,0.002461
344,0.002487
345,0.0025
346,0.002545
347,0.002524
348,0.00257
349,0.002555
350,0.002573
351,0.002625
352,0.002652
353,0.002594
354,0.002626
355,0.00268
356,0.002701
357,0.002696
358,0.002735
359,0.002743
360,0.002755
361,0.002726
362,0.002748
363,0.002802
364,0.002798
365,0.002792
366,0.002854
367,0.002819
368,0.002885
369,0.002828
370,0.002863
371,0.002911
372,0.002997
373,0.002912
374,0.003058
375,0.003158
376,0.003001
377,0.002928
378,0.002959
379,0.003005
380,0.003026
381,0.002998
382,0.003103
383,0.003097
384,0.003078
385,0.003099
386,0.003097
387,0.003223
388,0.003383
389,0.003243
390,0.003134
391,0.003195
392,0.003251
393,0.003249
394,0.003257
395,0.003253
396,0.003285
397,0.003266
398,0.003363
399,0.003347
400,0.003368
401,0.00343
402,0.003378
403,0.00338
404,0.003413
405,0.003465
406,0.003478
407,0.003503
408,0.003529
409,0.003501
410,0.003599
411,0.003609
412,0.003585
413,0.003597
414,0.003618
415,0.003653
416,0.003642
417,0.003683
418,0.003695
419,0.003764
420,0.003668
421,0.003764
422,0.003708
423,0.003816
424,0.003803
425,0.003777
426,0.003828
427,0.003807
428,0.003891
429,0.003897
430,0.003935
431,0.003999
432,0.003987
433,0.003988
434,0.004006
435,0.004129
436,0.004058
437,0.004022
438,0.004091
439,0.004098
440,0.004091
441,0.004095
442,0.004115
443,0.004141
444,0.004155
445,0.004121
446,0.004142
447,0.004181
448,0.005237
449,0.005468
450,0.004269
451,0.004302
452,0.004305
453,0.00433
454,0.004324
455,0.00439
456,0.004399
457,0.004394
458,0.004373
459,0.004464
460,0.004463
461,0.004478
462,0.004523
463,0.004556
464,0.004591
465,0.00454
466,0.004594
467,0.004593
468,0.004628
469,0.004638
470,0.004652
471,0.004677
472,0.004636
473,0.004703
474,0.004697
475,0.004703
476,0.004815
477,0.004807
478,0.004746
479,0.004826
480,0.004797
481,0.004921
482,0.004896
483,0.004866
484,0.004856
485,0.00496
