S0,Price,intrinsic
50,0.0004877099916,0
51,0.0007353616917,0
52,0.001092138007,0
53,0.001593461952,0
54,0.002288379417,0
55,0.00324643313,0
56,0.004545294197,0
57,0.006278654968,0
58,0.008564668306,0
59,0.01154543006,0
60,0.01538951685,0
61,0.02029424502,0
62,0.02648734843,0
63,0.03422802806,0
64,0.04380703429,0
65,0.05560036788,0
66,0.07002072609,0
67,0.08742333335,0
68,0.1082328618,0
69,0.1328944821,0
70,0.1623200872,0
71,0.1967345972,0
72,0.2366295226,0
73,0.2832340023,0
74,0.3367185922,0
75,0.3977814365,0
76,0.4677351522,0
77,0.5462902377,0
78,0.635689178,0
79,0.7350517495,0
80,0.8468118842,0
81,0.9699457281,0
82,1.107349811,0
83,1.257583426,0
84,1.423347433,0
85,1.603953077,0
86,1.80043846,0
87,2.014416992,0
88,2.244814355,0
89,2.493725844,0
90,2.761419127,0
91,3.047325959,0
92,3.353009608,0
93,3.679344279,0
94,4.025289223,0
95,4.3912788,0
96,4.779161391,0
97,5.188310477,0
98,5.618291309,0
99,6.069338856,0
100,6.541694045,0
101,7.036993232,1
102,7.553573855,2
103,8.091474348,3
104,8.650699076,4
105,9.231217018,5
106,9.832959721,6
107,10.4560511,7
108,11.10067173,8
109,11.76594856,9
110,12.45169695,10
111,13.1577102,11
112,13.88376229,12
113,14.62961294,13
114,15.39500687,14
115,16.17967956,15
116,16.98335854,16
117,17.8057662,17
118,18.64662272,18
119,19.50564962,19
120,20.38257242,20
121,21.27712283,21
122,22.18903782,22
123,23.11805295,23
124,24.06389133,24
125,25.02624976,25
126,26.00485444,26
127,27,27
128,28,28
129,29,29
130,30,30
131,31,31
132,32,32
133,33,33
134,34,34
135,35,35
136,36,36
137,37,37
138,38,38
139,39,39
140,40,40
141,41,41
142,42,42
143,43,43
144,44,44
145,45,45
146,46,46
147,47,47
148,48,48
149,49,49
150,50,50
151,51,51
152,52,52
153,53,53
154,54,54
155,55,55
156,56,56
157,57,57
158,58,58
159,59,59
160,60,60
161,61,61
162,62,62
163,63,63
164,64,64
165,65,65
166,66,66
167,67,67
168,68,68
169,69,69
